Date,Description,Debit,Credit,Balance
2024-01-05,NETFLIX.COM SUBSCRIPTION,199.00,,45230.50
2024-01-05,SPOTIFY INDIA,119.00,,45111.50
2024-01-10,AMAZON PRIME MEMBERSHIP,1499.00,,43612.50
2024-01-15,SALARY CREDIT,,85000.00,128612.50
2024-01-22,ADOBE CREATIVE CLOUD,1676.00,,126936.50
2024-01-25,GROCERY STORE PURCHASE,2340.00,,124596.50
2024-02-05,NETFLIX.COM SUBSCRIPTION,199.00,,124397.50
2024-02-05,SPOTIFY INDIA,119.00,,124278.50
2024-02-15,SALARY CREDIT,,85000.00,209278.50
2024-02-22,ADOBE*CREATIVE CLD,1676.00,,207602.50
2024-02-28,ELECTRICITY BILL PAYMENT,1850.00,,205752.50
2024-03-05,NETFLIX.COM SUBSCRIPTION,199.00,,205553.50
2024-03-05,SPOTIFY INDIA,119.00,,205434.50
2024-03-15,SALARY CREDIT,,85000.00,290434.50
2024-03-22,ADOBE CREATIVE CLOUD,1676.00,,288758.50
2024-04-05,NETFLIX.COM SUBSCRIPTION,199.00,,288559.50
2024-04-05,SPOTIFY INDIA,119.00,,288440.50
2024-04-15,SALARY CREDIT,,85000.00,373440.50
2024-04-22,ADOBE*CREATIVE CLD,1676.00,,371764.50
2024-05-05,NETFLIX.COM SUBSCRIPTION,249.00,,371515.50
2024-05-05,SPOTIFY INDIA,119.00,,371396.50
2024-05-15,SALARY CREDIT,,85000.00,456396.50
2024-05-22,ADOBE CREATIVE CLOUD,1676.00,,454720.50
2024-06-05,NETFLIX.COM SUBSCRIPTION,249.00,,454471.50
2024-06-05,SPOTIFY INDIA,119.00,,454352.50
2024-06-15,SALARY CREDIT,,85000.00,539352.50
2024-06-22,ADOBE CREATIVE CLOUD,1876.00,,537476.50
2024-07-05,NETFLIX.COM SUBSCRIPTION,249.00,,537227.50
2024-07-05,SPOTIFY INDIA,119.00,,537108.50
2024-07-10,AMAZON PRIME MEMBERSHIP,1499.00,,535609.50
2024-07-15,SALARY CREDIT,,85000.00,620609.50
2024-07-22,ADOBE*CREATIVE CLD,1876.00,,618733.50
